addr,time,after_relax,i,after_write,tmin,tmax,timept
1024,0.9957613945007324,6,0,6,4,8,1
1024,0.9957613945007324,8,1,8,4,8,1
1024,0.9957613945007324,7,2,7,4,8,1
1024,0.9957613945007324,6,3,5,4,8,1
1024,0.9957613945007324,6,4,6,4,8,1
1024,0.9957613945007324,7,5,7,4,8,1
1024,0.9957613945007324,9,6,7,4,8,1
1024,0.9957613945007324,8,7,8,4,8,1
1024,0.9957613945007324,7,8,8,4,8,1
1024,0.9957613945007324,8,9,7,4,8,1
1024,0.9957613945007324,7,10,7,4,8,1
1024,0.9957613945007324,5,11,6,4,8,1
1024,0.9957613945007324,8,12,8,4,8,1
1024,0.9957613945007324,6,13,6,4,8,1
1024,0.9957613945007324,10,14,9,4,8,1
1024,0.9957613945007324,7,15,7,4,8,1
1025,1.0012495517730713,6,0,6,5,9,1
1025,1.0012495517730713,7,1,8,5,9,1
1025,1.0012495517730713,10,2,9,5,9,1
1025,1.0012495517730713,6,3,6,5,9,1
1025,1.0012495517730713,9,4,9,5,9,1
1025,1.0012495517730713,9,5,10,5,9,1
1025,1.0012495517730713,8,6,8,5,9,1
1025,1.0012495517730713,9,7,9,5,9,1
1025,1.0012495517730713,7,8,9,5,9,1
1025,1.0012495517730713,8,9,8,5,9,1
1025,1.0012495517730713,7,10,6,5,9,1
1025,1.0012495517730713,8,11,8,5,9,1
1025,1.0012495517730713,9,12,9,5,9,1
1025,1.0012495517730713,8,13,8,5,9,1
1025,1.0012495517730713,9,14,7,5,9,1
1025,1.0012495517730713,6,15,9,5,9,1
1026,1.0057578086853027,10,0,11,6,10,1
1026,1.0057578086853027,15,1,15,6,10,1
1026,1.0057578086853027,8,2,9,6,10,1
1026,1.0057578086853027,9,3,10,6,10,1
1026,1.0057578086853027,8,4,8,6,10,1
1026,1.0057578086853027,7,5,11,6,10,1
1026,1.0057578086853027,7,6,7,6,10,1
1026,1.0057578086853027,7,7,8,6,10,1
1026,1.0057578086853027,9,8,9,6,10,1
1026,1.0057578086853027,8,9,8,6,10,1
1026,1.0057578086853027,10,10,10,6,10,1
1026,1.0057578086853027,7,11,7,6,10,1
1026,1.0057578086853027,9,12,8,6,10,1
1026,1.0057578086853027,7,13,10,6,10,1
1026,1.0057578086853027,10,14,10,6,10,1
1026,1.0057578086853027,11,15,10,6,10,1
1027,1.0075876712799072,10,0,10,7,11,1
1027,1.0075876712799072,9,1,8,7,11,1
1027,1.0075876712799072,15,2,12,7,11,1
1027,1.0075876712799072,10,3,12,7,11,1
1027,1.0075876712799072,10,4,11,7,11,1
1027,1.0075876712799072,10,5,11,7,11,1
1027,1.0075876712799072,7,6,10,7,11,1
1027,1.0075876712799072,10,7,10,7,11,1
1027,1.0075876712799072,8,8,9,7,11,1
1027,1.0075876712799072,7,9,10,7,11,1
1027,1.0075876712799072,10,10,8,7,11,1
1027,1.0075876712799072,10,11,11,7,11,1
1027,1.0075876712799072,12,12,10,7,11,1
1027,1.0075876712799072,12,13,12,7,11,1
1027,1.0075876712799072,12,14,12,7,11,1
1027,1.0075876712799072,9,15,8,7,11,1
1028,0.9932339191436768,12,0,12,8,12,1
1028,0.9932339191436768,12,1,12,8,12,1
1028,0.9932339191436768,10,2,10,8,12,1
1028,0.9932339191436768,12,3,12,8,12,1
1028,0.9932339191436768,14,4,14,8,12,1
1028,0.9932339191436768,11,5,12,8,12,1
1028,0.9932339191436768,17,6,11,8,12,1
1028,0.9932339191436768,9,7,9,8,12,1
1028,0.9932339191436768,8,8,8,8,12,1
1028,0.9932339191436768,7,9,11,8,12,1
1028,0.9932339191436768,6,10,6,8,12,1
1028,0.9932339191436768,12,11,12,8,12,1
1028,0.9932339191436768,10,12,12,8,12,1
1028,0.9932339191436768,12,13,13,8,12,1
1028,0.9932339191436768,10,14,10,8,12,1
1028,0.9932339191436768,12,15,12,8,12,1
1029,1.004197120666504,12,0,12,9,13,1
1029,1.004197120666504,12,1,12,9,13,1
1029,1.004197120666504,12,2,12,9,13,1
1029,1.004197120666504,10,3,10,9,13,1
1029,1.004197120666504,11,4,12,9,13,1
1029,1.004197120666504,11,5,11,9,13,1
1029,1.004197120666504,12,6,12,9,13,1
1029,1.004197120666504,10,7,13,9,13,1
1029,1.004197120666504,10,8,12,9,13,1
1029,1.004197120666504,12,9,12,9,13,1
1029,1.004197120666504,11,10,11,9,13,1
1029,1.004197120666504,11,11,13,9,13,1
1029,1.004197120666504,8,12,9,9,13,1
1029,1.004197120666504,12,13,11,9,13,1
1029,1.004197120666504,15,14,13,9,13,1
1029,1.004197120666504,7,15,7,9,13,1
1030,1.008208990097046,14,0,14,10,14,1
1030,1.008208990097046,12,1,12,10,14,1
1030,1.008208990097046,10,2,12,10,14,1
1030,1.008208990097046,14,3,14,10,14,1
1030,1.008208990097046,14,4,14,10,14,1
1030,1.008208990097046,10,5,12,10,14,1
1030,1.008208990097046,14,6,14,10,14,1
1030,1.008208990097046,15,7,14,10,14,1
1030,1.008208990097046,11,8,12,10,14,1
1030,1.008208990097046,14,9,12,10,14,1
1030,1.008208990097046,10,10,12,10,14,1
1030,1.008208990097046,12,11,12,10,14,1
1030,1.008208990097046,15,12,14,10,14,1
1030,1.008208990097046,12,13,14,10,14,1
1030,1.008208990097046,12,14,13,10,14,1
1030,1.008208990097046,14,15,14,10,14,1
1031,0.9981796741485596,13,0,15,11,15,1
1031,0.9981796741485596,15,1,14,11,15,1
1031,0.9981796741485596,11,2,13,11,15,1
1031,0.9981796741485596,15,3,13,11,15,1
1031,0.9981796741485596,14,4,14,11,15,1
1031,0.9981796741485596,10,5,14,11,15,1
1031,0.9981796741485596,13,6,12,11,15,1
1031,0.9981796741485596,13,7,13,11,15,1
1031,0.9981796741485596,12,8,13,11,15,1
1031,0.9981796741485596,15,9,15,11,15,1
1031,0.9981796741485596,15,10,15,11,15,1
1031,0.9981796741485596,13,11,13,11,15,1
1031,0.9981796741485596,14,12,15,11,15,1
1031,0.9981796741485596,14,13,14,11,15,1
1031,0.9981796741485596,15,14,15,11,15,1
